"expID","subID","eye","targetCategory","targetID","quadrant","breakTime","flag","outlier","pairedID"
"Binary","1","Left","Inverted",34,"Right",5.3281796,0,0,"B14"
"Binary","1","Left","Inverted",24,"Right",5.6280786,0,0,"B04"
"Binary","1","Left","Upright",5,"Left",8.6962565,0,1,"A05"
"Binary","1","Left","Upright",14,"Right",5.4913728,0,0,"A14"
"Binary","1","Left","Inverted",34,"Left",6.2052533,0,0,"B14"
"Binary","1","Left","Upright",11,"Left",5.1917699,0,0,"A11"
"Binary","1","Left","Upright",20,"Left",5.5101008,0,0,"A20"
"Binary","1","Left","Inverted",21,"Left",6.6088572,0,0,"B01"
"Binary","1","Left","Inverted",26,"Left",5.8342807,0,0,"B06"
"Binary","1","Left","Inverted",39,"Left",4.758841,0,0,"B19"
"Binary","1","Left","Upright",2,"Left",5.0766855,0,0,"A02"
"Binary","1","Left","Inverted",32,"Right",5.5744767,0,0,"B12"
"Binary","1","Left","Upright",6,"Left",7.167035,0,0,"A06"
"Binary","1","Left","Inverted",33,"Right",6.1584208,0,0,"B13"
"Binary","1","Left","Upright",14,"Left",5.3631516,0,0,"A14"
"Binary","1","Left","Inverted",23,"Left",4.6328252,0,0,"B03"
"Binary","1","Left","Inverted",33,"Left",4.464869,0,0,"B13"
"Binary","1","Left","Upright",4,"Left",3.8848345,0,0,"A04"
"Binary","1","Left","Inverted",29,"Left",3.7392447,0,0,"B09"
"Binary","1","Left","Upright",12,"Right",5.3828259,0,0,"A12"
"Binary","1","Left","Upright",18,"Left",6.824362,0,0,"A18"
"Binary","1","Left","Inverted",38,"Left",5.6947853,0,0,"B18"
"Binary","1","Left","Inverted",27,"Right",6.7959949,0,0,"B07"
"Binary","1","Left","Upright",19,"Right",3.3572024,0,0,"A19"
"Binary","1","Left","Inverted",37,"Left",4.8733934,0,0,"B17"
"Binary","1","Left","Upright",5,"Right",4.9103618,0,0,"A05"
"Binary","1","Left","Upright",12,"Left",4.3715252,0,0,"A12"
"Binary","1","Left","Upright",13,"Right",5.0981315,0,0,"A13"
"Binary","1","Left","Upright",8,"Left",3.0600985,0,0,"A08"
"Binary","1","Left","Upright",4,"Right",6.1419548,0,0,"A04"
"Binary","1","Left","Inverted",26,"Right",5.2203682,0,0,"B06"
"Binary","1","Left","Inverted",22,"Left",5.081011,0,0,"B02"
"Binary","1","Left","Upright",6,"Right",4.5316933,0,0,"A06"
"Binary","1","Left","Inverted",25,"Left",3.558636,0,0,"B05"
"Binary","1","Left","Inverted",37,"Right",4.7467571,0,0,"B17"
"Binary","1","Left","Inverted",23,"Right",4.2192569,0,0,"B03"
"Binary","1","Left","Upright",8,"Right",2.8781541,0,0,"A08"
"Binary","1","Left","Upright",10,"Left",3.0515032,0,0,"A10"
"Binary","1","Left","Inverted",29,"Right",4.9658652,0,0,"B09"
"Binary","1","Left","Inverted",30,"Right",4.0301718,0,0,"B10"
"Binary","1","Left","Upright",7,"Left",5.6541587,0,0,"A07"
"Binary","1","Left","Inverted",35,"Left",4.1620454,0,0,"B15"
"Binary","1","Left","Inverted",35,"Right",4.4001181,0,0,"B15"
"Binary","1","Left","Inverted",24,"Left",2.6365731,0,0,"B04"
"Binary","1","Left","Inverted",22,"Right",4.9888019,0,0,"B02"
"Binary","1","Left","Inverted",27,"Left",3.6151222,0,0,"B07"
"Binary","1","Left","Upright",1,"Left",2.660432,0,0,"A01"
"Binary","1","Left","Upright",17,"Left",3.6663657,0,0,"A17"
"Binary","1","Left","Upright",15,"Right",3.5493199,0,0,"A15"
"Binary","1","Left","Inverted",28,"Right",4.5490573,0,0,"B08"
"Binary","1","Left","Inverted",21,"Right",3.9383625,0,0,"B01"
"Binary","1","Left","Inverted",38,"Right",4.1936607,0,0,"B18"
"Binary","1","Left","Inverted",36,"Right",4.0552115,0,0,"B16"
"Binary","1","Left","Inverted",40,"Right",3.2371689,0,0,"B20"
"Binary","1","Left","Inverted",39,"Right",4.1148716,0,0,"B19"
"Binary","1","Left","Upright",2,"Right",3.1705575,0,0,"A02"
"Binary","1","Left","Inverted",31,"Left",4.3483571,0,0,"B11"
"Binary","1","Left","Upright",20,"Right",4.5306386,0,0,"A20"
"Binary","1","Left","Upright",3,"Right",4.222943,0,0,"A03"
"Binary","1","Left","Upright",7,"Right",3.5677453,0,0,"A07"
"Binary","1","Left","Upright",11,"Right",2.1817211,0,0,"A11"
"Binary","1","Left","Inverted",40,"Left",3.7670356,0,0,"B20"
"Binary","1","Left","Upright",13,"Left",3.3681425,0,0,"A13"
"Binary","1","Left","Upright",3,"Left",4.3799221,0,0,"A03"
"Binary","1","Left","Inverted",32,"Left",3.6092432,0,0,"B12"
"Binary","1","Left","Upright",16,"Left",3.7699416,0,0,"A16"
"Binary","1","Left","Inverted",30,"Left",3.6717418,0,0,"B10"
"Binary","1","Left","Upright",18,"Right",4.4125952,0,0,"A18"
"Binary","1","Left","Inverted",25,"Right",5.8286389,0,0,"B05"
"Binary","1","Left","Inverted",31,"Right",3.0704709,0,0,"B11"
"Binary","1","Left","Upright",9,"Right",3.7022491,0,0,"A09"
"Binary","1","Left","Upright",10,"Right",3.2260319,0,0,"A10"
"Binary","1","Left","Upright",17,"Right",3.9670025,0,0,"A17"
"Binary","1","Left","Inverted",36,"Left",4.6254056,0,0,"B16"
"Binary","1","Left","Upright",19,"Left",4.4550856,0,0,"A19"
"Binary","1","Left","Upright",9,"Left",2.8418668,0,0,"A09"
"Binary","1","Left","Upright",16,"Right",5.0293513,0,0,"A16"
"Binary","1","Left","Inverted",28,"Left",3.8403651,0,0,"B08"
"Binary","1","Left","Upright",15,"Left",3.9918787,0,0,"A15"
"Binary","1","Left","Upright",1,"Right",3.9890489,0,0,"A01"
"Binary","2","Left","Upright",19,"Right",5.7517662,0,0,"A19"
"Binary","2","Left","Upright",10,"Right",0.0011114,1,NA,"A10"
"Binary","2","Left","Inverted",35,"Left",5.3646342,0,0,"B15"
"Binary","2","Left","Inverted",36,"Left",13.0641895,0,1,"B16"
"Binary","2","Left","Inverted",28,"Left",5.2764041,0,0,"B08"
"Binary","2","Left","Inverted",38,"Left",6.0455503,0,0,"B18"
"Binary","2","Left","Inverted",29,"Left",10.9503598,0,1,"B09"
"Binary","2","Left","Upright",10,"Left",3.0426108,0,0,"A10"
"Binary","2","Left","Inverted",40,"Right",3.8662162,0,0,"B20"
"Binary","2","Left","Inverted",30,"Left",4.3638114,0,0,"B10"
"Binary","2","Left","Upright",2,"Left",6.4408728,0,0,"A02"
"Binary","2","Left","Upright",17,"Left",3.2407014,0,0,"A17"
"Binary","2","Left","Upright",6,"Right",4.569285,0,0,"A06"
"Binary","2","Left","Inverted",33,"Right",2.7627394,0,0,"B13"
"Binary","2","Left","Inverted",30,"Right",3.4067048,0,0,"B10"
"Binary","2","Left","Upright",6,"Left",5.7566413,0,0,"A06"
"Binary","2","Left","Upright",15,"Left",3.0185777,0,0,"A15"
"Binary","2","Left","Upright",16,"Right",2.6119183,0,0,"A16"
"Binary","2","Left","Inverted",35,"Right",4.8937813,0,0,"B15"
"Binary","2","Left","Inverted",37,"Left",3.5877908,0,0,"B17"
"Binary","2","Left","Upright",3,"Left",2.9941286,0,0,"A03"
"Binary","2","Left","Inverted",24,"Left",1.8559592,1,NA,"B04"
"Binary","2","Left","Upright",18,"Right",4.8263454,0,0,"A18"
"Binary","2","Left","Upright",7,"Left",3.8671852,0,0,"A07"
"Binary","2","Left","Inverted",27,"Right",3.04677,0,0,"B07"
"Binary","2","Left","Inverted",38,"Right",3.1882216,0,0,"B18"
"Binary","2","Left","Upright",16,"Left",6.6513851,0,0,"A16"
"Binary","2","Left","Inverted",36,"Right",1.8572853,0,0,"B16"
"Binary","2","Left","Upright",2,"Right",5.8956412,0,0,"A02"
"Binary","2","Left","Inverted",39,"Right",6.1163464,0,0,"B19"
"Binary","2","Left","Inverted",23,"Right",3.267135,0,0,"B03"
