targetID,Likeface,Likeobject
20,0.6,0.74
36,0.23,0.54
32,0.58,0.69
34,0,0.55
40,0.81,0.65
39,0.41,0.65
31,0.26,0.66
21,0.21,0.67
29,0.41,0.419999999999999
28,1,0.8
2,0.67,0.73
14,0.23,0.55
18,0.0799999999999994,0.66
32,0.71,0.77
11,1,1
38,0,0.75
13,0,0.74
38,0,0.73
22,0,0.75
37,0,0.73
37,0,0.7
35,0,0
24,0,0.78
9,0.77,0.26
31,1,0.23
17,0,0.69
16,0,0.74
28,1,0
38,0,0.75
30,0,0.76
5,0.61,0.35
21,0.279999999999999,0.73
1,0.25,0.75
8,1,0
19,0.63,0.35
15,0,0.66
23,1,0.26
15,0.35,0.59
27,1,0.25
3,1,0.01
13,0.26,0.81
19,0.75,0.279999999999999
11,1,0
13,0.22,0.76
6,0.74,0.37
10,0.119999999999999,0.87
12,0.45,0.41
9,0.72,0.33
31,1,0.199999999999999
8,1,0
26,0,0
7,0.58,0.38
36,0.0699999999999998,0.75
6,0.6,0.58
2,0,0.56
24,0.59,0.39
4,0.56,0.41
33,0.18,0.72
21,0.36,0.75
37,0.33,0.68
33,0.35,0.66
16,0,0.730000000000001
4,0.55,0.42
35,0,0.69
7,0.26,0.73
40,0.74,0.329999999999999
5,0.56,0.56
20,0.77,0.33
26,0.65,0.62
34,0.14,0.73
18,0.0899999999999997,0.63
23,0.910000000000001,0.319999999999999
8,1,0
34,0.35,0.61
10,0.259999999999999,0.72
7,0.269999999999999,0.51
3,1,0.71
24,0.65,0.55
4,0.61,0.63
14,1,0.72
1,0.74,0.36
16,0,0.75
9,0.55,0.44
2,0.61,0.37
19,0.71,0.34
23,1,0.0399999999999993
18,0.27,0.74
22,0,0.85
10,0,0.83
17,0,0.79
15,0.75,0.59
27,0.77,0.32
27,0.35,0.42
35,0.269999999999999,0.74
29,0.74,0.23
20,0.82,0.16
33,0.21,0.7
14,1,0.62
39,0.54,0.29
25,0.6,0.35
5,0.56,0.42
12,0.89,0.25
11,1,0
26,0.56,0.57
12,1,0
25,0.43,0.63
1,0.269999999999999,0.77
40,0.83,0.34
6,0.63,0.66
3,1,0.22
28,1,0
29,0.65,0.34
36,0,0.740000000000001
39,0.24,0.69
22,0.149999999999999,0.770000000000001
30,0.19,0.77
17,0.149999999999999,0.84
30,0.22,0.75
25,0.22,0.75
32,0.830000000000001,0.32
